"ID","Name","Image URL","Description","Price"
"T9CC","ROSE PRICK SATIN MATTE LIP COLOR","https://i1.adis.ws/i/tom_ford/T9CC_26TODIE_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","Inspired by the sharp, pristine Rose Prick fragrance, Tom Ford Lip Color Satin Matte in To Die For is presented in exclusive, limited edition pink packaging. Vibrant, velvet and saturated with high-pigment color impact in a single stroke, the lightweight, full-coverage and longwearing formula features the rare and exotic nourishing ingredients, including Soja Seed Extract, Brazilian Murmuru Butter and Rosehip Seed Oil which help smooth and moisturize lips for the appearance of the ultimate voluptuous look.","$56"
"T8TJ","ROSE PRICK LIP COLOR","https://i1.adis.ws/i/tom_ford/T8TJ_CASABLANCA_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","CREAMY. SATURATED. LONG-LASTING.
AN ARRAY OF TOM FORD'S ESSENTIAL SHADES OF LUXURIOUS LIPSTICK FOR THE MANY DIMENSIONS OF THE TOM FORD WOMAN. TOM FORD'S PERSONAL PALETTE OF LUXURIOUS LIP COLORS FOR THE MANY DIMENSIONS AND SHADES OF THE TOM FORD WOMAN. FROM BARE NUDE TO FIRE RED TO DEEP BROWN, EACH SHADE REPRESENTS FORD'S MODERN IDEAL OF AN ESSENTIAL MAKEUP SHADE. RARE AND EXOTIC INGREDIENTS INCLUDING SOJA SEED EXTRACT, BRAZILIAN MURUMURU BUTTER AND CHAMOMILLA FLOWER OIL CREATE AN ULTRA-CREAMY TEXTURE WITH AN INCREDIBLY SMOOTH APPLICATION. SPECIALLY TREATED COLOR PIGMENTS ARE BLENDED TO DELIVER PURE COLOR WITH THE PERFECT BALANCE OF LUMINOSITY FOR A POLISHED FINISH.","$56"
"T952","BALM FROST","https://i1.adis.ws/i/tom_ford/T952_SLN_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","Sumptuous. Pearlescent. Indulgent.
Eye candy, meet lip luxury:
Created to lavish weather-stung winter lips with soothing hydration, Balm Frost is a sumptuous, apply-all-day pearlescent balm that mimics the look of bright sun glittering on crystalline snow. Open the iconic TOM FORD lip color case -- so golden it almost hurts to look -- and the gorgeous, super-shimmer lip bullet is revealed, its pale pink shade glittering with winter magic. Balm Frost glides smoothly onto the lips' surface, leaving behind an instantly hydrated, fuller looking lip while treating them to the ultimate light show.","$56"
"T1LP","LIP COLOR MATTE","https://i1.adis.ws/i/tom_ford/T1LP_PUSSYCAT_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","VELVET. MATTE. LONG-WEARING

TOM FORD LIP COLOR MATTE CREATES A POWERFULLY SOPHISTICATED LOOK OF UNADULTERATED COLOR. FORMULATED WITH A LUXURIOUS, VELVET MATTE FINISH, THE LIP COLOR MATTE SMOOTHES COMFORTABLY ONTO THE LIPS IN A SPECTRUM OF RICHLY PIGMENTED HUES FROM SENSUOUS PINK NEUTRALS TO ALLURING BOLDS.","$56"
"T77M","LIP SPARK","https://i1.adis.ws/i/tom_ford/T77M_15BABY_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","Smooth. Metallic. Sequin.
Lips go high voltage with new paillette-packed Lip Spark. The ultra-gliding metallic sequin lipstick imparts explosive color with the look of loose glitter on lips. In glittering nudes like Surge and Thrust, and the ruby slipper sequin of Stunner, opulent glamour reigns supreme. Playful purple like Trance and the sleek silver of Bolt debut a new shade range of lipstick both unexpected and perfectly Tom Ford.","$56"
"T71X","LIP BLUSH","https://i1.adis.ws/i/tom_ford/T71X_Z09_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","Moisturizing. Transforming. Stain. 

The moisturizing balm applies on clear and instantly transforms into a sultry pink stain. Lip Blush perfectly captures the gilded glow of Tom Ford Soleil with special gold-tone packaging and gold flecks.","$55"
"T0T3","LIP COLOR","https://i1.adis.ws/i/tom_ford/T0T3_SCARLETROUGE_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","CREAMY.  SATURATED. LONG-LASTING.

AN ARRAY OF TOM FORD'S ESSENTIAL SHADES OF LUXURIOUS LIPSTICK FOR THE MANY DIMENSIONS OF THE TOM FORD WOMAN.

TOM FORD'S PERSONAL PALETTE OF LUXURIOUS LIP COLORS FOR THE MANY DIMENSIONS AND SHADES OF THE TOM FORD
WOMAN. FROM BARE NUDE TO FIRE RED TO DEEP BROWN, EACH SHADE REPRESENTS FORD'S MODERN IDEAL OF AN
ESSENTIAL MAKEUP SHADE. RARE AND EXOTIC INGREDIENTS INCLUDING SOJA SEED EXTRACT, BRAZILIAN MURUMURU
BUTTER AND CHAMOMILLA FLOWER OIL CREATE AN ULTRA-CREAMY TEXTURE WITH AN INCREDIBLY SMOOTH APPLICATION.
SPECIALLY TREATED COLOR PIGMENTS ARE BLENDED TO DELIVER PURE COLOR WITH THE PERFECT BALANCE OF LUMINOSITY
FOR A POLISHED FINISH.","$56"
"T6NW","LIP COLOR SATIN MATTE","https://i1.adis.ws/i/tom_ford/T6NW_FAME_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","One-Stroke. Visibly-Plumped. Velvet.  
 
Vibrant, velvet and saturated with high-pigment color impact in a single stroke.  The lightweight, full-coverage, and longwearing formula features the rare and exotic nourishing ingredients of iconic Tom Ford Lip Color, including soja seed extract, Brazilian murmuru butter and rosehip seed oil, to help smooth and moisturize lips for the appearance of the ultimate voluptuous look.","$56"
"T76P","FUCKING FABULOUS LIP COLOR","https://i1.adis.ws/i/tom_ford/T76P_FUCKINGFABULOUS_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","Make a Fucking Fabulous lip statement that is anything but ordinary with a bold, intensely shiny, vibrant true red. Packaged in an exclusive, Limited Edition sleek, matte black component. Ultra-creamy texture with an incredibly smooth application. Specially treated color pigments are blended to deliver pure color with a high shine finish. Contains rare and exotic ingredients including soja seed extract, Brazilian murmur butter and chamomilla flower oil.","$56"
"T77H","LOST CHERRY LIP COLOR","https://i1.adis.ws/i/tom_ford/T77H_LOSTCHERRY_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","CREAMY. SATURATED. LONG-LASTING.
AN ARRAY OF TOM FORD'S ESSENTIAL SHADES OF LUXURIOUS LIPSTICK FOR THE MANY DIMENSIONS OF THE TOM FORD WOMAN.
TOM FORD'S PERSONAL PALETTE OF LUXURIOUS LIP COLORS FOR THE MANY DIMENSIONS AND SHADES OF THE TOM FORDWOMAN. FROM BARE NUDE TO FIRE RED TO DEEP BROWN, EACH SHADE REPRESENTS FORD   S MODERN IDEAL OF ANESSENTIAL MAKEUP SHADE. RARE AND EXOTIC INGREDIENTS INCLUDING SOJA SEED EXTRACT, BRAZILIAN MURUMURUBUTTER AND CHAMOMILLA FLOWER OIL CREATE AN ULTRA-CREAMY TEXTURE WITH AN INCREDIBLY SMOOTH APPLICATION.SPECIALLY TREATED COLOR PIGMENTS ARE BLENDED TO DELIVER PURE COLOR WITH THE PERFECT BALANCE OF LUMINOSITYFOR A POLISHED FINISH.","$56"
"T7WT","CLUTCH-SIZE SOLEIL LIP BALM","https://i1.adis.ws/i/tom_ford/T7WT_01REFLECTION_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","Clutch-sized. Nourishing. Wet-Shine.
Clutch-sized for ultimate versatility, the new Soleil Lip Balm formula merges protective lip care with glamorous Soleil color. Nourishing cacao butter and Monhoi Tahiti butter hydrate and soothe lips with healing anti-oxidants. A veil of color in six naturally-flattering shades give lips supple glow with a wet-shine finish.","$38"
"T31H-1","BOYS & GIRLS","https://i1.adis.ws/i/tom_ford/T31H-1_KENDRICK_APPENDGRID?&fmt=jpg&$dark-bg$&w=600&img404=MACRO_LIPS_NO_IMAGE","50 BOYS MEET 50 GIRLS. TOM FORD'S CELEBRATED CLUTCH-SIZED LIPS AND BOYS COLLECTION. NAMED AFTER MEN AND WOMEN HE ADMIRES, FROM INTIMATES TO COLLABORATORS FROM AROUND THE WORLD. DESIGNED TO BE WORN ON THEIR OWN OR LAYERED WITH ONE ANOTHER, EACH TRANSFORMING COLOR AND FINISH AMPLIFIES A WOMAN OR MAN'S INDIVIDUALITY WHILE INCITING AN INSATIABLE DESIRE TO TRY MORE THAN ONE. THE DECADENT WARDROBE OF RICH, SPECIALLY TREATED PIGMENTS ARE BLENDED TO DELIVER PURE COLOR IN ULTRA-KISSABLE MATTE, CREAM AND METALLIC FINISHES.","$36"
